year,Tyron
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,7
1940,9
1941,6
1942,9
1943,6
1944,9
1945,5
1946,7
1947,9
1948,10
1949,12
1950,11
1951,13
1952,21
1953,10
1954,12
1955,12
1956,22
1957,24
1958,25
1959,39
1960,36
1961,44
1962,60
1963,65
1964,71
1965,83
1966,76
1967,96
1968,112
1969,106
1970,120
1971,121
1972,121
1973,153
1974,120
1975,149
1976,169
1977,139
1978,143
1979,142
1980,125
1981,143
1982,124
1983,134
1984,124
1985,120
1986,130
1987,130
1988,127
1989,139
1990,202
1991,163
1992,158
1993,145
1994,168
1995,169
1996,187
1997,158
1998,168
1999,171
2000,146
2001,174
2002,142
2003,156
2004,137
2005,126
2006,121
2007,122
2008,97
2009,113
2010,106
2011,88
2012,98
