year,Talisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,0
1961,13
1962,12
1963,15
1964,10
1965,14
1966,14
1967,16
1968,27
1969,26
1970,27
1971,29
1972,30
1973,20
1974,47
1975,37
1976,42
1977,35
1978,35
1979,46
1980,46
1981,40
1982,34
1983,27
1984,34
1985,44
1986,39
1987,56
1988,110
1989,168
1990,100
1991,85
1992,59
1993,49
1994,56
1995,37
1996,39
1997,30
1998,41
1999,25
2000,35
2001,34
2002,45
2003,45
2004,41
2005,43
2006,25
2007,18
2008,16
2009,16
2010,16
2011,13
2012,13
