year,Tammara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,0
1948,0
1949,0
1950,0
1951,7
1952,6
1953,9
1954,0
1955,9
1956,0
1957,38
1958,68
1959,69
1960,89
1961,79
1962,95
1963,106
1964,103
1965,92
1966,97
1967,89
1968,100
1969,79
1970,101
1971,101
1972,59
1973,64
1974,72
1975,59
1976,52
1977,58
1978,44
1979,55
1980,42
1981,59
1982,50
1983,40
1984,47
1985,44
1986,51
1987,47
1988,33
1989,30
1990,34
1991,32
1992,33
1993,22
1994,22
1995,16
1996,14
1997,18
1998,13
1999,14
2000,7
2001,7
2002,7
2003,12
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
