year,Tamala
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,10
1953,8
1954,6
1955,6
1956,11
1957,33
1958,71
1959,86
1960,104
1961,109
1962,88
1963,134
1964,117
1965,98
1966,123
1967,144
1968,150
1969,121
1970,124
1971,176
1972,131
1973,106
1974,141
1975,107
1976,89
1977,63
1978,53
1979,50
1980,48
1981,51
1982,59
1983,33
1984,20
1985,22
1986,17
1987,20
1988,20
1989,16
1990,8
1991,19
1992,13
1993,8
1994,10
1995,8
1996,0
1997,5
1998,9
1999,8
2000,0
2001,10
2002,5
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
