year,Titus (F),Titus (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000023
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000023
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000028
1906,0.000000,0.000019
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000020
1911,0.000000,0.000022
1912,0.000000,0.000017
1913,0.000000,0.000013
1914,0.000000,0.000011
1915,0.000000,0.000015
1916,0.000000,0.000013
1917,0.000000,0.000017
1918,0.000000,0.000015
1919,0.000000,0.000015
1920,0.000000,0.000019
1921,0.000000,0.000012
1922,0.000000,0.000012
1923,0.000000,0.000012
1924,0.000000,0.000011
1925,0.000000,0.000013
1926,0.000000,0.000009
1927,0.000000,0.000010
1928,0.000000,0.000017
1929,0.000000,0.000014
1930,0.000000,0.000015
1931,0.000000,0.000013
1932,0.000000,0.000015
1933,0.000000,0.000014
1934,0.000000,0.000011
1935,0.000000,0.000008
1936,0.000000,0.000009
1937,0.000000,0.000013
1938,0.000000,0.000009
1939,0.000000,0.000010
1940,0.000000,0.000013
1941,0.000000,0.000011
1942,0.000000,0.000008
1943,0.000000,0.000010
1944,0.000000,0.000008
1945,0.000000,0.000008
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000009
1951,0.000000,0.000007
1952,0.000000,0.000006
1953,0.000000,0.000009
1954,0.000000,0.000012
1955,0.000000,0.000008
1956,0.000000,0.000010
1957,0.000000,0.000011
1958,0.000000,0.000011
1959,0.000000,0.000013
1960,0.000000,0.000018
1961,0.000000,0.000015
1962,0.000000,0.000016
1963,0.000000,0.000018
1964,0.000000,0.000020
1965,0.000000,0.000023
1966,0.000000,0.000018
1967,0.000000,0.000016
1968,0.000000,0.000015
1969,0.000000,0.000017
1970,0.000000,0.000019
1971,0.000000,0.000024
1972,0.000000,0.000027
1973,0.000000,0.000027
1974,0.000000,0.000039
1975,0.000000,0.000037
1976,0.000000,0.000040
1977,0.000002,0.000045
1978,0.000000,0.000040
1979,0.000000,0.000040
1980,0.000000,0.000035
1981,0.000000,0.000046
1982,0.000000,0.000045
1983,0.000000,0.000047
1984,0.000000,0.000045
1985,0.000000,0.000038
1986,0.000000,0.000037
1987,0.000000,0.000035
1988,0.000000,0.000042
1989,0.000000,0.000038
1990,0.000000,0.000035
1991,0.000000,0.000034
1992,0.000000,0.000042
1993,0.000000,0.000032
1994,0.000000,0.000039
1995,0.000000,0.000040
1996,0.000000,0.000043
1997,0.000000,0.000044
1998,0.000000,0.000053
1999,0.000000,0.000065
2000,0.000000,0.000077
2001,0.000000,0.000091
2002,0.000000,0.000091
2003,0.000000,0.000091
2004,0.000000,0.000104
2005,0.000000,0.000118
2006,0.000000,0.000117
2007,0.000000,0.000134
2008,0.000000,0.000162
2009,0.000000,0.000168
2010,0.000000,0.000193
2011,0.000000,0.000224
2012,0.000000,0.000232
2013,0.000000,0.000291
