year,Thane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,7
1917,0
1918,6
1919,0
1920,8
1921,9
1922,5
1923,6
1924,8
1925,0
1926,0
1927,7
1928,6
1929,0
1930,0
1931,12
1932,0
1933,0
1934,0
1935,6
1936,0
1937,6
1938,6
1939,5
1940,6
1941,5
1942,5
1943,0
1944,5
1945,8
1946,12
1947,7
1948,8
1949,6
1950,8
1951,7
1952,10
1953,16
1954,20
1955,22
1956,22
1957,16
1958,23
1959,26
1960,35
1961,33
1962,45
1963,45
1964,41
1965,33
1966,31
1967,42
1968,37
1969,27
1970,26
1971,37
1972,27
1973,24
1974,18
1975,23
1976,20
1977,21
1978,26
1979,20
1980,22
1981,24
1982,21
1983,19
1984,21
1985,25
1986,14
1987,19
1988,28
1989,25
1990,26
1991,27
1992,29
1993,26
1994,33
1995,30
1996,41
1997,20
1998,31
1999,38
2000,39
2001,42
2002,49
2003,36
2004,36
2005,35
2006,48
2007,40
2008,43
2009,48
2010,39
2011,48
2012,43
