year,Thomas (F),Thomas (M)
1880,0.000040,0.012577
1881,0.000057,0.011843
1882,0.000054,0.011782
1883,0.000000,0.010676
1884,0.000041,0.010564
1885,0.000037,0.009408
1886,0.000031,0.009153
1887,0.000028,0.008695
1888,0.000047,0.008178
1889,0.000042,0.007728
1890,0.000030,0.007299
1891,0.000045,0.006914
1892,0.000048,0.007216
1893,0.000049,0.006632
1894,0.000027,0.006407
1895,0.000040,0.006134
1896,0.000031,0.005841
1897,0.000046,0.005707
1898,0.000029,0.005665
1899,0.000024,0.005339
1900,0.000036,0.005679
1901,0.000035,0.005263
1902,0.000041,0.005518
1903,0.000024,0.005147
1904,0.000040,0.005098
1905,0.000042,0.005036
1906,0.000030,0.005079
1907,0.000026,0.004673
1908,0.000045,0.004709
1909,0.000023,0.004828
1910,0.000030,0.004826
1911,0.000036,0.005110
1912,0.000034,0.006161
1913,0.000032,0.006240
1914,0.000034,0.006248
1915,0.000025,0.006270
1916,0.000025,0.006202
1917,0.000027,0.006284
1918,0.000032,0.006407
1919,0.000031,0.006366
1920,0.000036,0.006602
1921,0.000033,0.006557
1922,0.000029,0.006667
1923,0.000029,0.006899
1924,0.000036,0.006951
1925,0.000033,0.007152
1926,0.000048,0.007228
1927,0.000050,0.007342
1928,0.000063,0.007333
1929,0.000055,0.007424
1930,0.000058,0.007651
1931,0.000042,0.008006
1932,0.000044,0.007974
1933,0.000048,0.008253
1934,0.000030,0.008363
1935,0.000035,0.008462
1936,0.000037,0.008829
1937,0.000031,0.009280
1938,0.000034,0.009663
1939,0.000034,0.010044
1940,0.000037,0.010419
1941,0.000031,0.010936
1942,0.000038,0.011385
1943,0.000032,0.011646
1944,0.000037,0.011748
1945,0.000038,0.012014
1946,0.000034,0.012166
1947,0.000029,0.012447
1948,0.000028,0.012680
1949,0.000029,0.012971
1950,0.000023,0.013015
1951,0.000024,0.013107
1952,0.000021,0.012809
1953,0.000025,0.012197
1954,0.000020,0.011847
1955,0.000018,0.011422
1956,0.000025,0.010872
1957,0.000026,0.010615
1958,0.000028,0.010178
1959,0.000031,0.009690
1960,0.000029,0.009454
1961,0.000027,0.009070
1962,0.000028,0.009050
1963,0.000034,0.008969
1964,0.000029,0.008861
1965,0.000031,0.008722
1966,0.000034,0.008347
1967,0.000041,0.008325
1968,0.000036,0.008121
1969,0.000030,0.007903
1970,0.000037,0.007399
1971,0.000038,0.006747
1972,0.000031,0.006226
1973,0.000033,0.005943
1974,0.000031,0.005683
1975,0.000028,0.005478
1976,0.000033,0.005314
1977,0.000039,0.005222
1978,0.000041,0.005195
1979,0.000037,0.004951
1980,0.000032,0.005099
1981,0.000032,0.004963
1982,0.000031,0.005013
1983,0.000042,0.005073
1984,0.000034,0.005045
1985,0.000032,0.004933
1986,0.000036,0.004880
1987,0.000035,0.005029
1988,0.000032,0.005091
1989,0.000018,0.004796
1990,0.000011,0.004611
1991,0.000011,0.004310
1992,0.000009,0.003979
1993,0.000008,0.003943
1994,0.000006,0.004011
1995,0.000008,0.003868
1996,0.000009,0.003785
1997,0.000005,0.003557
1998,0.000005,0.003504
1999,0.000005,0.003463
2000,0.000006,0.003345
2001,0.000004,0.003246
2002,0.000004,0.003022
2003,0.000004,0.002876
2004,0.000010,0.002749
2005,0.000003,0.002612
2006,0.000004,0.002405
2007,0.000002,0.002235
2008,0.000000,0.002128
2009,0.000003,0.002023
2010,0.000003,0.001930
2011,0.000003,0.001893
2012,0.000003,0.001873
2013,0.000002,0.001865
2014,0.000002,0.001900
2015,0.000003,0.001946
2016,0.000003,0.002009
2017,0.000003,0.002009
2018,0.000002,0.001944
2019,0.000000,0.001918
2020,0.000002,0.001932
