year,Tressa
1880,7
1881,6
1882,10
1883,8
1884,10
1885,15
1886,8
1887,14
1888,15
1889,19
1890,17
1891,17
1892,22
1893,15
1894,24
1895,21
1896,33
1897,27
1898,22
1899,21
1900,21
1901,20
1902,21
1903,22
1904,18
1905,29
1906,24
1907,26
1908,32
1909,20
1910,19
1911,21
1912,27
1913,29
1914,39
1915,49
1916,46
1917,52
1918,50
1919,57
1920,46
1921,52
1922,45
1923,54
1924,46
1925,37
1926,30
1927,30
1928,26
1929,19
1930,18
1931,26
1932,19
1933,22
1934,21
1935,18
1936,15
1937,25
1938,21
1939,26
1940,22
1941,16
1942,19
1943,19
1944,20
1945,19
1946,26
1947,28
1948,23
1949,27
1950,25
1951,45
1952,40
1953,31
1954,34
1955,39
1956,58
1957,43
1958,78
1959,70
1960,72
1961,97
1962,85
1963,76
1964,104
1965,97
1966,119
1967,106
1968,101
1969,177
1970,186
1971,193
1972,150
1973,148
1974,153
1975,153
1976,117
1977,125
1978,118
1979,107
1980,93
1981,94
1982,85
1983,72
1984,79
1985,69
1986,82
1987,71
1988,69
1989,61
1990,95
1991,80
1992,79
1993,92
1994,83
1995,70
1996,79
1997,68
1998,64
1999,56
2000,75
2001,72
2002,57
2003,48
2004,53
2005,53
2006,48
2007,35
2008,35
2009,33
2010,26
2011,33
2012,31
