year,Tonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,12
1944,9
1945,13
1946,28
1947,39
1948,28
1949,38
1950,31
1951,55
1952,49
1953,55
1954,67
1955,62
1956,67
1957,69
1958,74
1959,66
1960,83
1961,117
1962,109
1963,122
1964,135
1965,132
1966,111
1967,92
1968,92
1969,92
1970,69
1971,80
1972,67
1973,52
1974,67
1975,29
1976,40
1977,23
1978,24
1979,18
1980,16
1981,15
1982,11
1983,11
1984,13
1985,13
1986,7
1987,9
1988,0
1989,10
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
