year,Thornton (F),Thornton (M)
1880,0.000000,0.000060
1881,0.000000,0.000052
1882,0.000000,0.000077
1883,0.000000,0.000060
1884,0.000000,0.000029
1885,0.000000,0.000021
1886,0.000000,0.000067
1887,0.000000,0.000040
1888,0.000000,0.000063
1889,0.000000,0.000059
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000033
1893,0.000000,0.000037
1894,0.000000,0.000032
1895,0.000000,0.000034
1896,0.000000,0.000022
1897,0.000000,0.000017
1898,0.000000,0.000024
1899,0.000000,0.000050
1900,0.000000,0.000024
1901,0.000000,0.000026
1902,0.000000,0.000021
1903,0.000000,0.000026
1904,0.000000,0.000025
1905,0.000000,0.000017
1906,0.000000,0.000040
1907,0.000000,0.000015
1908,0.000000,0.000023
1909,0.000000,0.000029
1910,0.000000,0.000034
1911,0.000000,0.000029
1912,0.000000,0.000031
1913,0.000000,0.000038
1914,0.000000,0.000030
1915,0.000000,0.000035
1916,0.000000,0.000030
1917,0.000000,0.000027
1918,0.000000,0.000023
1919,0.000000,0.000026
1920,0.000000,0.000030
1921,0.000000,0.000032
1922,0.000000,0.000031
1923,0.000000,0.000023
1924,0.000000,0.000028
1925,0.000000,0.000021
1926,0.000000,0.000020
1927,0.000000,0.000018
1928,0.000000,0.000022
1929,0.000000,0.000013
1930,0.000000,0.000021
1931,0.000000,0.000016
1932,0.000000,0.000022
1933,0.000000,0.000014
1934,0.000000,0.000013
1935,0.000000,0.000018
1936,0.000000,0.000013
1937,0.000000,0.000015
1938,0.000000,0.000017
1939,0.000000,0.000017
1940,0.000000,0.000015
1941,0.000000,0.000013
1942,0.000000,0.000016
1943,0.000000,0.000016
1944,0.000000,0.000012
1945,0.000000,0.000012
1946,0.000000,0.000012
1947,0.000000,0.000012
1948,0.000000,0.000010
1949,0.000000,0.000009
1950,0.000000,0.000011
1951,0.000000,0.000010
1952,0.000000,0.000009
1953,0.000000,0.000010
1954,0.000000,0.000008
1955,0.000000,0.000005
1956,0.000000,0.000007
1957,0.000000,0.000007
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000004
1961,0.000000,0.000005
1962,0.000000,0.000007
1963,0.000000,0.000005
1964,0.000000,0.000007
1965,0.000000,0.000003
1966,0.000000,0.000005
1967,0.000000,0.000006
1968,0.000000,0.000005
1969,0.000000,0.000007
1970,0.000000,0.000003
1971,0.000000,0.000004
1972,0.000000,0.000004
1973,0.000000,0.000006
1974,0.000000,0.000005
1975,0.000000,0.000007
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000003
1979,0.000000,0.000004
1980,0.000000,0.000005
1981,0.000000,0.000003
1982,0.000000,0.000000
1983,0.000000,0.000003
1984,0.000000,0.000003
1985,0.000000,0.000002
1986,0.000000,0.000003
1987,0.000000,0.000004
1988,0.000000,0.000002
1989,0.000000,0.000003
1990,0.000000,0.000004
1991,0.000000,0.000002
1992,0.000000,0.000004
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000004
1998,0.000000,0.000004
1999,0.000000,0.000003
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000003
2014,0.000000,0.000003
2015,0.000000,0.000002
2016,0.000000,0.000003
2017,0.000000,0.000004
2018,0.000000,0.000003
2019,0.000000,0.000002
2020,0.000000,0.000002
