year,Thais
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,11
1911,6
1912,9
1913,16
1914,16
1915,21
1916,26
1917,21
1918,23
1919,16
1920,30
1921,30
1922,22
1923,25
1924,25
1925,31
1926,18
1927,15
1928,17
1929,13
1930,16
1931,15
1932,17
1933,9
1934,9
1935,8
1936,10
1937,10
1938,11
1939,12
1940,13
1941,13
1942,7
1943,8
1944,11
1945,11
1946,10
1947,16
1948,10
1949,10
1950,12
1951,12
1952,20
1953,14
1954,11
1955,15
1956,20
1957,15
1958,13
1959,9
1960,7
1961,20
1962,19
1963,13
1964,13
1965,11
1966,5
1967,8
1968,16
1969,17
1970,10
1971,27
1972,23
1973,21
1974,17
1975,11
1976,20
1977,22
1978,11
1979,15
1980,14
1981,19
1982,13
1983,20
1984,11
1985,13
1986,14
1987,22
1988,8
1989,12
1990,11
1991,11
1992,14
1993,8
1994,14
1995,18
1996,15
1997,18
1998,35
1999,42
2000,63
2001,84
2002,47
2003,32
2004,35
2005,24
2006,35
2007,36
2008,37
2009,27
2010,23
2011,21
2012,18
