year,Tallie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,16
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,10
1916,5
1917,13
1918,8
1919,5
1920,9
1921,6
1922,5
1923,8
1924,5
1925,5
1926,5
1927,0
1928,6
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,8
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,11
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,29
1973,13
1974,14
1975,14
1976,5
1977,7
1978,8
1979,9
1980,10
1981,6
1982,7
1983,9
1984,6
1985,6
1986,7
1987,0
1988,5
1989,7
1990,11
1991,0
1992,0
1993,5
1994,8
1995,5
1996,10
1997,20
1998,15
1999,11
2000,13
2001,6
2002,10
2003,12
2004,7
2005,11
2006,12
2007,11
2008,10
2009,12
2010,16
2011,10
2012,13
