year,Tarrence
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,7
1964,9
1965,5
1966,10
1967,7
1968,16
1969,16
1970,14
1971,13
1972,18
1973,21
1974,19
1975,24
1976,25
1977,25
1978,27
1979,26
1980,20
1981,19
1982,19
1983,24
1984,23
1985,17
1986,16
1987,17
1988,20
1989,18
1990,16
1991,20
1992,20
1993,16
1994,17
1995,13
1996,17
1997,8
1998,15
1999,16
2000,9
2001,10
2002,9
2003,6
2004,10
2005,8
2006,11
2007,18
2008,9
2009,10
2010,9
2011,10
2012,10
