year,Tawny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,9
1948,10
1949,8
1950,15
1951,8
1952,12
1953,14
1954,13
1955,23
1956,23
1957,29
1958,28
1959,20
1960,44
1961,68
1962,76
1963,55
1964,41
1965,47
1966,48
1967,43
1968,39
1969,50
1970,61
1971,43
1972,43
1973,31
1974,22
1975,40
1976,66
1977,64
1978,89
1979,116
1980,119
1981,127
1982,164
1983,146
1984,151
1985,141
1986,139
1987,152
1988,186
1989,217
1990,180
1991,151
1992,142
1993,145
1994,113
1995,85
1996,71
1997,48
1998,57
1999,60
2000,30
2001,30
2002,27
2003,38
2004,20
2005,37
2006,21
2007,24
2008,17
2009,11
2010,13
2011,13
2012,7
