year,Toney (F),Toney (M)
1880,0.000000,0.000035
1881,0.000000,0.000031
1882,0.000000,0.000036
1883,0.000000,0.000023
1884,0.000000,0.000041
1885,0.000000,0.000037
1886,0.000000,0.000043
1887,0.000000,0.000040
1888,0.000000,0.000053
1889,0.000000,0.000000
1890,0.000000,0.000033
1891,0.000000,0.000038
1892,0.000000,0.000021
1893,0.000000,0.000025
1894,0.000000,0.000038
1895,0.000000,0.000000
1896,0.000000,0.000020
1897,0.000000,0.000020
1898,0.000000,0.000024
1899,0.000000,0.000021
1900,0.000000,0.000042
1901,0.000000,0.000029
1902,0.000000,0.000021
1903,0.000000,0.000026
1904,0.000000,0.000025
1905,0.000000,0.000028
1906,0.000000,0.000016
1907,0.000000,0.000024
1908,0.000000,0.000010
1909,0.000000,0.000039
1910,0.000000,0.000017
1911,0.000000,0.000014
1912,0.000000,0.000025
1913,0.000000,0.000023
1914,0.000000,0.000028
1915,0.000003,0.000025
1916,0.000000,0.000017
1917,0.000000,0.000027
1918,0.000000,0.000022
1919,0.000000,0.000024
1920,0.000000,0.000019
1921,0.000002,0.000018
1922,0.000003,0.000017
1923,0.000000,0.000017
1924,0.000000,0.000018
1925,0.000000,0.000018
1926,0.000000,0.000014
1927,0.000000,0.000016
1928,0.000000,0.000020
1929,0.000000,0.000016
1930,0.000000,0.000009
1931,0.000000,0.000015
1932,0.000002,0.000014
1933,0.000000,0.000013
1934,0.000000,0.000017
1935,0.000000,0.000019
1936,0.000000,0.000017
1937,0.000000,0.000015
1938,0.000000,0.000019
1939,0.000000,0.000015
1940,0.000000,0.000025
1941,0.000000,0.000021
1942,0.000000,0.000022
1943,0.000002,0.000016
1944,0.000000,0.000017
1945,0.000000,0.000020
1946,0.000002,0.000023
1947,0.000002,0.000018
1948,0.000002,0.000017
1949,0.000001,0.000019
1950,0.000002,0.000018
1951,0.000002,0.000022
1952,0.000003,0.000018
1953,0.000002,0.000022
1954,0.000001,0.000024
1955,0.000001,0.000032
1956,0.000000,0.000025
1957,0.000000,0.000025
1958,0.000000,0.000038
1959,0.000001,0.000041
1960,0.000002,0.000034
1961,0.000001,0.000045
1962,0.000001,0.000039
1963,0.000002,0.000039
1964,0.000002,0.000035
1965,0.000002,0.000037
1966,0.000000,0.000043
1967,0.000000,0.000042
1968,0.000000,0.000033
1969,0.000001,0.000033
1970,0.000003,0.000032
1971,0.000001,0.000021
1972,0.000000,0.000030
1973,0.000003,0.000021
1974,0.000000,0.000023
1975,0.000002,0.000019
1976,0.000000,0.000017
1977,0.000000,0.000015
1978,0.000002,0.000014
1979,0.000000,0.000018
1980,0.000000,0.000016
1981,0.000000,0.000014
1982,0.000002,0.000021
1983,0.000000,0.000014
1984,0.000000,0.000016
1985,0.000002,0.000016
1986,0.000000,0.000014
1987,0.000000,0.000012
1988,0.000000,0.000014
1989,0.000000,0.000017
1990,0.000000,0.000012
1991,0.000000,0.000014
1992,0.000000,0.000015
1993,0.000000,0.000009
1994,0.000002,0.000012
1995,0.000000,0.000012
1996,0.000000,0.000010
1997,0.000000,0.000009
1998,0.000000,0.000008
1999,0.000000,0.000005
2000,0.000000,0.000006
2001,0.000000,0.000009
2002,0.000000,0.000009
2003,0.000000,0.000006
2004,0.000000,0.000006
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000002
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000005
2012,0.000000,0.000005
2013,0.000000,0.000003
