year,Tadashi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,13
1914,19
1915,19
1916,17
1917,34
1918,23
1919,23
1920,30
1921,28
1922,35
1923,33
1924,31
1925,23
1926,21
1927,23
1928,15
1929,15
1930,14
1931,11
1932,9
1933,6
1934,15
1935,13
1936,8
1937,0
1938,5
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,8
1977,7
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,6
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,5
2008,5
2009,0
2010,0
2011,0
2012,0
