year,Texie
1880,0
1881,7
1882,6
1883,7
1884,0
1885,0
1886,7
1887,0
1888,7
1889,7
1890,7
1891,11
1892,6
1893,15
1894,0
1895,7
1896,9
1897,11
1898,9
1899,11
1900,12
1901,6
1902,9
1903,9
1904,6
1905,7
1906,7
1907,7
1908,7
1909,13
1910,17
1911,16
1912,14
1913,14
1914,8
1915,15
1916,13
1917,10
1918,13
1919,19
1920,21
1921,18
1922,22
1923,12
1924,10
1925,15
1926,17
1927,11
1928,11
1929,15
1930,10
1931,10
1932,13
1933,6
1934,6
1935,11
1936,9
1937,6
1938,10
1939,19
1940,6
1941,6
1942,8
1943,6
1944,15
1945,0
1946,5
1947,6
1948,0
1949,0
1950,7
1951,0
1952,6
1953,0
1954,0
1955,0
1956,6
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
