year,Teddy (F),Teddy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000036
1901,0.000000,0.000043
1902,0.000000,0.000028
1903,0.000000,0.000037
1904,0.000000,0.000042
1905,0.000012,0.000050
1906,0.000019,0.000040
1907,0.000000,0.000043
1908,0.000014,0.000025
1909,0.000000,0.000031
1910,0.000000,0.000039
1911,0.000012,0.000033
1912,0.000006,0.000056
1913,0.000008,0.000033
1914,0.000000,0.000056
1915,0.000003,0.000072
1916,0.000004,0.000075
1917,0.000003,0.000091
1918,0.000005,0.000120
1919,0.000009,0.000113
1920,0.000003,0.000105
1921,0.000003,0.000118
1922,0.000004,0.000102
1923,0.000008,0.000121
1924,0.000006,0.000122
1925,0.000008,0.000112
1926,0.000011,0.000136
1927,0.000009,0.000135
1928,0.000007,0.000172
1929,0.000011,0.000172
1930,0.000006,0.000188
1931,0.000009,0.000202
1932,0.000012,0.000219
1933,0.000012,0.000238
1934,0.000009,0.000221
1935,0.000010,0.000198
1936,0.000013,0.000208
1937,0.000013,0.000204
1938,0.000015,0.000203
1939,0.000010,0.000192
1940,0.000012,0.000195
1941,0.000009,0.000198
1942,0.000014,0.000189
1943,0.000021,0.000179
1944,0.000012,0.000187
1945,0.000017,0.000177
1946,0.000008,0.000172
1947,0.000010,0.000141
1948,0.000009,0.000156
1949,0.000007,0.000176
1950,0.000008,0.000157
1951,0.000009,0.000152
1952,0.000006,0.000141
1953,0.000005,0.000139
1954,0.000005,0.000119
1955,0.000006,0.000121
1956,0.000003,0.000136
1957,0.000006,0.000135
1958,0.000005,0.000137
1959,0.000004,0.000139
1960,0.000003,0.000142
1961,0.000003,0.000148
1962,0.000003,0.000141
1963,0.000002,0.000138
1964,0.000003,0.000143
1965,0.000002,0.000144
1966,0.000003,0.000148
1967,0.000003,0.000133
1968,0.000002,0.000139
1969,0.000002,0.000129
1970,0.000002,0.000105
1971,0.000002,0.000108
1972,0.000003,0.000106
1973,0.000000,0.000089
1974,0.000002,0.000089
1975,0.000003,0.000091
1976,0.000000,0.000095
1977,0.000002,0.000090
1978,0.000002,0.000077
1979,0.000003,0.000087
1980,0.000000,0.000073
1981,0.000000,0.000070
1982,0.000000,0.000063
1983,0.000000,0.000056
1984,0.000003,0.000046
1985,0.000001,0.000042
1986,0.000002,0.000053
1987,0.000004,0.000051
1988,0.000002,0.000054
1989,0.000003,0.000043
1990,0.000000,0.000042
1991,0.000002,0.000039
1992,0.000002,0.000033
1993,0.000003,0.000032
1994,0.000003,0.000032
1995,0.000004,0.000026
1996,0.000003,0.000035
1997,0.000003,0.000032
1998,0.000002,0.000025
1999,0.000002,0.000026
2000,0.000000,0.000024
2001,0.000002,0.000023
2002,0.000001,0.000020
2003,0.000000,0.000021
2004,0.000001,0.000018
2005,0.000002,0.000020
2006,0.000000,0.000020
2007,0.000001,0.000018
2008,0.000000,0.000019
2009,0.000000,0.000021
2010,0.000000,0.000019
2011,0.000003,0.000019
2012,0.000002,0.000017
2013,0.000003,0.000018
