year,Talena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,12
1961,0
1962,5
1963,8
1964,6
1965,0
1966,6
1967,6
1968,13
1969,14
1970,19
1971,19
1972,18
1973,20
1974,20
1975,21
1976,38
1977,32
1978,26
1979,32
1980,27
1981,30
1982,31
1983,20
1984,19
1985,29
1986,30
1987,15
1988,16
1989,25
1990,17
1991,15
1992,16
1993,13
1994,15
1995,9
1996,13
1997,14
1998,14
1999,7
2000,13
2001,14
2002,15
2003,18
2004,20
2005,22
2006,17
2007,12
2008,11
2009,15
2010,8
2011,9
2012,8
