year,Tisha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,0
1947,11
1948,10
1949,12
1950,13
1951,11
1952,9
1953,5
1954,14
1955,13
1956,15
1957,13
1958,18
1959,16
1960,39
1961,38
1962,36
1963,47
1964,46
1965,95
1966,93
1967,130
1968,179
1969,402
1970,399
1971,867
1972,614
1973,590
1974,539
1975,466
1976,409
1977,412
1978,371
1979,409
1980,338
1981,303
1982,251
1983,201
1984,179
1985,157
1986,139
1987,123
1988,140
1989,105
1990,122
1991,102
1992,110
1993,147
1994,100
1995,89
1996,47
1997,43
1998,37
1999,30
2000,21
2001,26
2002,17
2003,22
2004,23
2005,24
2006,16
2007,22
2008,19
2009,17
2010,13
2011,13
2012,11
