year,Tama
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,7
1924,0
1925,7
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,6
1938,6
1939,0
1940,0
1941,0
1942,5
1943,9
1944,7
1945,10
1946,18
1947,12
1948,13
1949,23
1950,11
1951,12
1952,26
1953,26
1954,32
1955,23
1956,39
1957,51
1958,91
1959,97
1960,64
1961,70
1962,66
1963,67
1964,68
1965,51
1966,43
1967,40
1968,40
1969,31
1970,28
1971,29
1972,27
1973,20
1974,23
1975,14
1976,21
1977,16
1978,11
1979,13
1980,12
1981,9
1982,14
1983,9
1984,10
1985,13
1986,7
1987,8
1988,5
1989,9
1990,11
1991,5
1992,7
1993,0
1994,5
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,5
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
