year,Tamer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,0
1916,6
1917,0
1918,11
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,10
1973,7
1974,10
1975,12
1976,14
1977,14
1978,15
1979,15
1980,12
1981,12
1982,19
1983,12
1984,17
1985,18
1986,11
1987,14
1988,17
1989,17
1990,24
1991,15
1992,12
1993,23
1994,22
1995,23
1996,23
1997,23
1998,15
1999,22
2000,18
2001,15
2002,17
2003,16
2004,31
2005,25
2006,24
2007,27
2008,20
2009,21
2010,14
2011,18
2012,12
