year,Theo (F),Theo (M)
1880,0.000035,0.000045
1881,0.000042,0.000042
1882,0.000045,0.000054
1883,0.000032,0.000065
1884,0.000066,0.000029
1885,0.000046,0.000033
1886,0.000059,0.000031
1887,0.000077,0.000040
1888,0.000057,0.000030
1889,0.000062,0.000028
1890,0.000040,0.000040
1891,0.000073,0.000038
1892,0.000075,0.000027
1893,0.000058,0.000034
1894,0.000050,0.000035
1895,0.000071,0.000040
1896,0.000067,0.000034
1897,0.000081,0.000032
1898,0.000066,0.000042
1899,0.000047,0.000029
1900,0.000049,0.000031
1901,0.000055,0.000052
1902,0.000091,0.000062
1903,0.000076,0.000047
1904,0.000077,0.000067
1905,0.000080,0.000054
1906,0.000063,0.000040
1907,0.000067,0.000062
1908,0.000049,0.000070
1909,0.000086,0.000043
1910,0.000049,0.000059
1911,0.000056,0.000048
1912,0.000054,0.000051
1913,0.000044,0.000055
1914,0.000045,0.000057
1915,0.000053,0.000050
1916,0.000051,0.000050
1917,0.000045,0.000044
1918,0.000048,0.000040
1919,0.000052,0.000044
1920,0.000043,0.000043
1921,0.000041,0.000046
1922,0.000045,0.000048
1923,0.000033,0.000040
1924,0.000047,0.000041
1925,0.000044,0.000042
1926,0.000039,0.000045
1927,0.000025,0.000047
1928,0.000027,0.000041
1929,0.000032,0.000034
1930,0.000025,0.000040
1931,0.000020,0.000040
1932,0.000019,0.000036
1933,0.000020,0.000031
1934,0.000019,0.000026
1935,0.000019,0.000034
1936,0.000014,0.000035
1937,0.000015,0.000019
1938,0.000009,0.000029
1939,0.000012,0.000029
1940,0.000014,0.000017
1941,0.000014,0.000016
1942,0.000010,0.000016
1943,0.000012,0.000022
1944,0.000010,0.000016
1945,0.000020,0.000018
1946,0.000010,0.000013
1947,0.000010,0.000011
1948,0.000010,0.000014
1949,0.000006,0.000010
1950,0.000009,0.000012
1951,0.000005,0.000012
1952,0.000005,0.000011
1953,0.000005,0.000009
1954,0.000004,0.000008
1955,0.000006,0.000008
1956,0.000003,0.000009
1957,0.000005,0.000009
1958,0.000003,0.000009
1959,0.000002,0.000008
1960,0.000002,0.000010
1961,0.000004,0.000008
1962,0.000003,0.000006
1963,0.000002,0.000008
1964,0.000003,0.000010
1965,0.000000,0.000012
1966,0.000002,0.000007
1967,0.000000,0.000009
1968,0.000000,0.000007
1969,0.000001,0.000008
1970,0.000002,0.000008
1971,0.000000,0.000007
1972,0.000000,0.000008
1973,0.000000,0.000009
1974,0.000000,0.000011
1975,0.000002,0.000019
1976,0.000000,0.000019
1977,0.000000,0.000016
1978,0.000000,0.000014
1979,0.000002,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000009
1982,0.000000,0.000009
1983,0.000000,0.000008
1984,0.000000,0.000007
1985,0.000000,0.000021
1986,0.000000,0.000024
1987,0.000000,0.000021
1988,0.000000,0.000021
1989,0.000000,0.000020
1990,0.000000,0.000017
1991,0.000001,0.000016
1992,0.000000,0.000015
1993,0.000000,0.000013
1994,0.000000,0.000015
1995,0.000000,0.000015
1996,0.000000,0.000015
1997,0.000000,0.000017
1998,0.000000,0.000017
1999,0.000000,0.000021
2000,0.000000,0.000027
2001,0.000000,0.000022
2002,0.000001,0.000026
2003,0.000000,0.000029
2004,0.000000,0.000035
2005,0.000000,0.000036
2006,0.000000,0.000039
2007,0.000000,0.000048
2008,0.000000,0.000048
2009,0.000000,0.000049
2010,0.000000,0.000060
2011,0.000000,0.000067
2012,0.000000,0.000079
2013,0.000000,0.000100
2014,0.000000,0.000149
2015,0.000000,0.000207
2016,0.000003,0.000260
2017,0.000002,0.000345
2018,0.000002,0.000442
2019,0.000009,0.000582
2020,0.000013,0.000667
