year,Talya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,17
1969,14
1970,12
1971,7
1972,17
1973,38
1974,18
1975,19
1976,22
1977,25
1978,28
1979,30
1980,34
1981,30
1982,32
1983,24
1984,24
1985,25
1986,33
1987,27
1988,41
1989,54
1990,44
1991,46
1992,43
1993,39
1994,31
1995,43
1996,58
1997,55
1998,60
1999,79
2000,85
2001,72
2002,71
2003,54
2004,65
2005,76
2006,87
2007,69
2008,97
2009,80
2010,83
2011,87
2012,80
