year,Tona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,6
1935,0
1936,0
1937,0
1938,5
1939,10
1940,8
1941,8
1942,12
1943,8
1944,13
1945,10
1946,23
1947,33
1948,25
1949,24
1950,22
1951,24
1952,18
1953,24
1954,32
1955,29
1956,31
1957,50
1958,30
1959,48
1960,38
1961,40
1962,45
1963,54
1964,59
1965,35
1966,45
1967,30
1968,38
1969,38
1970,42
1971,27
1972,28
1973,37
1974,34
1975,38
1976,32
1977,24
1978,20
1979,15
1980,20
1981,26
1982,22
1983,10
1984,16
1985,8
1986,11
1987,8
1988,7
1989,10
1990,6
1991,6
1992,5
1993,9
1994,8
1995,0
1996,8
1997,0
1998,0
1999,0
2000,8
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
