year,Tyanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,0
1957,0
1958,5
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,7
1967,0
1968,9
1969,0
1970,11
1971,15
1972,7
1973,15
1974,8
1975,13
1976,20
1977,18
1978,23
1979,24
1980,21
1981,23
1982,35
1983,30
1984,37
1985,25
1986,38
1987,41
1988,40
1989,50
1990,34
1991,51
1992,73
1993,74
1994,100
1995,105
1996,118
1997,170
1998,178
1999,205
2000,203
2001,173
2002,183
2003,143
2004,143
2005,137
2006,110
2007,100
2008,100
2009,100
2010,95
2011,94
2012,78
