year,Talbert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,0
1913,8
1914,12
1915,0
1916,14
1917,12
1918,16
1919,14
1920,14
1921,14
1922,12
1923,14
1924,15
1925,11
1926,11
1927,15
1928,13
1929,14
1930,9
1931,12
1932,10
1933,11
1934,7
1935,15
1936,12
1937,11
1938,11
1939,15
1940,11
1941,10
1942,8
1943,8
1944,9
1945,12
1946,17
1947,10
1948,12
1949,12
1950,10
1951,9
1952,12
1953,14
1954,18
1955,15
1956,5
1957,10
1958,11
1959,10
1960,6
1961,17
1962,12
1963,15
1964,14
1965,15
1966,10
1967,7
1968,12
1969,12
1970,10
1971,7
1972,10
1973,10
1974,6
1975,9
1976,8
1977,6
1978,11
1979,0
1980,10
1981,8
1982,7
1983,6
1984,8
1985,0
1986,5
1987,0
1988,6
1989,0
1990,7
1991,0
1992,5
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
