year,Tamara (F),Tamara (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000003,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000003,0.000000
1926,0.000000,0.000000
1927,0.000003,0.000000
1928,0.000004,0.000000
1929,0.000003,0.000000
1930,0.000004,0.000000
1931,0.000006,0.000000
1932,0.000009,0.000000
1933,0.000010,0.000000
1934,0.000013,0.000000
1935,0.000014,0.000000
1936,0.000015,0.000000
1937,0.000015,0.000000
1938,0.000022,0.000000
1939,0.000030,0.000000
1940,0.000078,0.000000
1941,0.000059,0.000000
1942,0.000049,0.000000
1943,0.000059,0.000000
1944,0.000072,0.000000
1945,0.000073,0.000000
1946,0.000096,0.000000
1947,0.000104,0.000000
1948,0.000094,0.000000
1949,0.000101,0.000000
1950,0.000110,0.000000
1951,0.000128,0.000000
1952,0.000140,0.000000
1953,0.000151,0.000000
1954,0.000167,0.000000
1955,0.000167,0.000000
1956,0.000177,0.000000
1957,0.000440,0.000001
1958,0.000824,0.000000
1959,0.000914,0.000002
1960,0.000881,0.000002
1961,0.000901,0.000002
1962,0.000947,0.000001
1963,0.001006,0.000002
1964,0.000979,0.000004
1965,0.000982,0.000005
1966,0.001001,0.000003
1967,0.001179,0.000003
1968,0.001275,0.000004
1969,0.001338,0.000004
1970,0.001309,0.000003
1971,0.001307,0.000004
1972,0.001123,0.000006
1973,0.001421,0.000006
1974,0.001488,0.000008
1975,0.001201,0.000006
1976,0.001018,0.000005
1977,0.000983,0.000006
1978,0.000882,0.000002
1979,0.000867,0.000006
1980,0.000816,0.000004
1981,0.000766,0.000003
1982,0.000673,0.000003
1983,0.000658,0.000004
1984,0.000655,0.000003
1985,0.000558,0.000004
1986,0.000591,0.000003
1987,0.000481,0.000002
1988,0.000414,0.000002
1989,0.000386,0.000003
1990,0.000349,0.000002
1991,0.000324,0.000002
1992,0.000329,0.000000
1993,0.000270,0.000000
1994,0.000304,0.000000
1995,0.000292,0.000000
1996,0.000275,0.000000
1997,0.000257,0.000000
1998,0.000239,0.000000
1999,0.000203,0.000000
2000,0.000180,0.000000
2001,0.000167,0.000000
2002,0.000213,0.000001
2003,0.000151,0.000000
2004,0.000132,0.000000
2005,0.000114,0.000000
2006,0.000105,0.000000
2007,0.000104,0.000000
2008,0.000089,0.000000
2009,0.000079,0.000000
2010,0.000062,0.000000
2011,0.000059,0.000000
2012,0.000056,0.000000
