year,Theodosia
1880,10
1881,6
1882,8
1883,10
1884,7
1885,10
1886,11
1887,8
1888,5
1889,9
1890,10
1891,9
1892,15
1893,18
1894,8
1895,19
1896,5
1897,8
1898,10
1899,8
1900,12
1901,9
1902,7
1903,12
1904,13
1905,6
1906,7
1907,15
1908,11
1909,13
1910,14
1911,17
1912,25
1913,19
1914,25
1915,15
1916,40
1917,30
1918,45
1919,40
1920,37
1921,36
1922,32
1923,30
1924,32
1925,25
1926,33
1927,32
1928,23
1929,20
1930,24
1931,18
1932,13
1933,12
1934,16
1935,13
1936,21
1937,15
1938,11
1939,7
1940,18
1941,14
1942,16
1943,12
1944,17
1945,15
1946,14
1947,21
1948,10
1949,13
1950,16
1951,18
1952,15
1953,8
1954,7
1955,16
1956,13
1957,13
1958,15
1959,8
1960,9
1961,12
1962,9
1963,6
1964,11
1965,0
1966,7
1967,6
1968,7
1969,7
1970,9
1971,7
1972,6
1973,5
1974,10
1975,8
1976,7
1977,7
1978,0
1979,5
1980,5
1981,6
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,7
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
