year,Taya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,6
1962,9
1963,10
1964,12
1965,5
1966,12
1967,9
1968,13
1969,14
1970,34
1971,24
1972,28
1973,28
1974,33
1975,24
1976,45
1977,47
1978,31
1979,22
1980,37
1981,47
1982,37
1983,24
1984,16
1985,26
1986,36
1987,27
1988,31
1989,38
1990,24
1991,40
1992,43
1993,31
1994,45
1995,48
1996,41
1997,239
1998,364
1999,298
2000,242
2001,226
2002,242
2003,250
2004,249
2005,213
2006,212
2007,197
2008,186
2009,282
2010,232
2011,151
2012,134
