year,Terria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,17
1953,16
1954,15
1955,10
1956,18
1957,10
1958,16
1959,15
1960,10
1961,9
1962,19
1963,11
1964,16
1965,19
1966,0
1967,19
1968,12
1969,11
1970,28
1971,28
1972,30
1973,23
1974,12
1975,16
1976,20
1977,27
1978,22
1979,19
1980,21
1981,22
1982,29
1983,28
1984,23
1985,21
1986,24
1987,32
1988,22
1989,29
1990,25
1991,23
1992,30
1993,22
1994,28
1995,16
1996,16
1997,18
1998,17
1999,23
2000,13
2001,17
2002,15
2003,6
2004,9
2005,14
2006,7
2007,10
2008,12
2009,7
2010,0
2011,7
2012,0
