year,Twana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,0
1940,0
1941,6
1942,0
1943,0
1944,6
1945,5
1946,0
1947,10
1948,7
1949,14
1950,11
1951,18
1952,19
1953,26
1954,28
1955,27
1956,30
1957,42
1958,36
1959,39
1960,67
1961,50
1962,44
1963,66
1964,73
1965,83
1966,69
1967,62
1968,69
1969,97
1970,80
1971,113
1972,108
1973,87
1974,119
1975,113
1976,95
1977,94
1978,68
1979,48
1980,47
1981,45
1982,33
1983,23
1984,25
1985,16
1986,13
1987,11
1988,13
1989,10
1990,14
1991,8
1992,11
1993,0
1994,11
1995,8
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
