year,Tilda
1880,7
1881,16
1882,15
1883,31
1884,17
1885,17
1886,28
1887,18
1888,17
1889,13
1890,26
1891,15
1892,16
1893,17
1894,14
1895,27
1896,19
1897,22
1898,19
1899,15
1900,21
1901,23
1902,24
1903,15
1904,17
1905,23
1906,14
1907,22
1908,14
1909,22
1910,15
1911,18
1912,28
1913,18
1914,16
1915,19
1916,29
1917,29
1918,29
1919,28
1920,26
1921,32
1922,29
1923,26
1924,35
1925,24
1926,25
1927,32
1928,29
1929,22
1930,19
1931,17
1932,22
1933,21
1934,21
1935,27
1936,17
1937,23
1938,18
1939,22
1940,13
1941,16
1942,13
1943,8
1944,14
1945,22
1946,17
1947,23
1948,5
1949,19
1950,19
1951,11
1952,16
1953,16
1954,15
1955,19
1956,11
1957,24
1958,23
1959,22
1960,12
1961,19
1962,22
1963,20
1964,16
1965,12
1966,12
1967,12
1968,10
1969,7
1970,10
1971,5
1972,0
1973,7
1974,0
1975,5
1976,6
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,8
2007,0
2008,6
2009,10
2010,9
2011,9
2012,10
