year,Takiyah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,6
1973,21
1974,36
1975,53
1976,71
1977,60
1978,53
1979,50
1980,56
1981,46
1982,32
1983,48
1984,52
1985,36
1986,38
1987,20
1988,18
1989,21
1990,16
1991,36
1992,25
1993,18
1994,32
1995,16
1996,18
1997,32
1998,29
1999,35
2000,38
2001,42
2002,48
2003,60
2004,68
2005,88
2006,75
2007,85
2008,73
2009,70
2010,55
2011,54
2012,42
