year,Ty (F),Ty (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000003
1917,0.000000,0.000002
1918,0.000000,0.000002
1919,0.000000,0.000003
1920,0.000000,0.000002
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000003
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000002
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000003
1937,0.000000,0.000004
1938,0.000000,0.000000
1939,0.000000,0.000002
1940,0.000000,0.000003
1941,0.000000,0.000005
1942,0.000000,0.000002
1943,0.000000,0.000004
1944,0.000000,0.000006
1945,0.000000,0.000007
1946,0.000000,0.000004
1947,0.000000,0.000005
1948,0.000000,0.000005
1949,0.000000,0.000006
1950,0.000000,0.000007
1951,0.000000,0.000010
1952,0.000000,0.000010
1953,0.000000,0.000011
1954,0.000001,0.000012
1955,0.000000,0.000017
1956,0.000002,0.000019
1957,0.000000,0.000015
1958,0.000002,0.000020
1959,0.000002,0.000045
1960,0.000001,0.000061
1961,0.000002,0.000078
1962,0.000003,0.000088
1963,0.000002,0.000094
1964,0.000003,0.000096
1965,0.000000,0.000083
1966,0.000003,0.000094
1967,0.000004,0.000108
1968,0.000002,0.000135
1969,0.000002,0.000122
1970,0.000002,0.000121
1971,0.000002,0.000144
1972,0.000003,0.000135
1973,0.000000,0.000122
1974,0.000003,0.000116
1975,0.000005,0.000107
1976,0.000002,0.000110
1977,0.000000,0.000121
1978,0.000002,0.000112
1979,0.000003,0.000109
1980,0.000004,0.000114
1981,0.000004,0.000116
1982,0.000004,0.000106
1983,0.000004,0.000098
1984,0.000003,0.000110
1985,0.000004,0.000101
1986,0.000002,0.000106
1987,0.000003,0.000088
1988,0.000003,0.000091
1989,0.000002,0.000092
1990,0.000003,0.000129
1991,0.000003,0.000151
1992,0.000003,0.000180
1993,0.000004,0.000204
1994,0.000004,0.000219
1995,0.000004,0.000269
1996,0.000004,0.000335
1997,0.000005,0.000375
1998,0.000007,0.000309
1999,0.000006,0.000331
2000,0.000006,0.000343
2001,0.000003,0.000326
2002,0.000006,0.000431
2003,0.000007,0.000510
2004,0.000008,0.000576
2005,0.000006,0.000637
2006,0.000005,0.000455
2007,0.000003,0.000384
2008,0.000005,0.000365
2009,0.000003,0.000429
2010,0.000003,0.000351
2011,0.000002,0.000271
2012,0.000002,0.000243
