year,Tad
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,0
1915,12
1916,0
1917,5
1918,5
1919,5
1920,6
1921,10
1922,9
1923,6
1924,5
1925,12
1926,12
1927,7
1928,10
1929,19
1930,7
1931,6
1932,19
1933,21
1934,12
1935,13
1936,9
1937,5
1938,11
1939,20
1940,20
1941,13
1942,22
1943,27
1944,17
1945,16
1946,18
1947,26
1948,26
1949,16
1950,25
1951,28
1952,24
1953,43
1954,50
1955,87
1956,126
1957,149
1958,137
1959,133
1960,146
1961,122
1962,157
1963,169
1964,187
1965,223
1966,265
1967,220
1968,204
1969,170
1970,197
1971,184
1972,160
1973,158
1974,171
1975,170
1976,146
1977,137
1978,116
1979,104
1980,100
1981,84
1982,65
1983,76
1984,130
1985,128
1986,133
1987,103
1988,108
1989,108
1990,92
1991,110
1992,79
1993,88
1994,75
1995,66
1996,58
1997,47
1998,29
1999,29
2000,31
2001,32
2002,38
2003,31
2004,35
2005,37
2006,36
2007,31
2008,22
2009,25
2010,9
2011,23
2012,21
