year,Tressie
1880,6
1881,13
1882,13
1883,11
1884,10
1885,13
1886,19
1887,14
1888,17
1889,20
1890,18
1891,21
1892,20
1893,30
1894,34
1895,34
1896,25
1897,45
1898,41
1899,45
1900,53
1901,55
1902,56
1903,49
1904,51
1905,55
1906,51
1907,60
1908,46
1909,53
1910,76
1911,66
1912,77
1913,88
1914,78
1915,133
1916,137
1917,142
1918,114
1919,126
1920,111
1921,139
1922,130
1923,109
1924,103
1925,106
1926,88
1927,109
1928,88
1929,72
1930,71
1931,67
1932,62
1933,75
1934,56
1935,69
1936,49
1937,57
1938,54
1939,56
1940,46
1941,37
1942,46
1943,37
1944,43
1945,34
1946,28
1947,21
1948,42
1949,26
1950,29
1951,30
1952,28
1953,23
1954,22
1955,22
1956,23
1957,26
1958,30
1959,19
1960,31
1961,30
1962,30
1963,25
1964,27
1965,46
1966,44
1967,39
1968,41
1969,30
1970,35
1971,39
1972,35
1973,27
1974,27
1975,20
1976,31
1977,24
1978,23
1979,17
1980,24
1981,27
1982,18
1983,18
1984,19
1985,14
1986,19
1987,11
1988,14
1989,17
1990,15
1991,16
1992,7
1993,5
1994,11
1995,17
1996,12
1997,12
1998,14
1999,10
2000,6
2001,10
2002,8
2003,9
2004,11
2005,9
2006,13
2007,8
2008,8
2009,8
2010,10
2011,0
2012,0
