year,Thurmond
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,7
1912,0
1913,8
1914,6
1915,14
1916,10
1917,13
1918,5
1919,14
1920,17
1921,16
1922,8
1923,15
1924,19
1925,12
1926,15
1927,20
1928,13
1929,11
1930,16
1931,15
1932,19
1933,11
1934,12
1935,15
1936,13
1937,14
1938,18
1939,12
1940,19
1941,15
1942,12
1943,13
1944,17
1945,13
1946,19
1947,21
1948,30
1949,26
1950,25
1951,28
1952,27
1953,21
1954,15
1955,23
1956,14
1957,15
1958,13
1959,7
1960,14
1961,10
1962,17
1963,14
1964,12
1965,10
1966,8
1967,7
1968,9
1969,8
1970,10
1971,11
1972,9
1973,9
1974,10
1975,6
1976,5
1977,7
1978,6
1979,0
1980,7
1981,8
1982,5
1983,6
1984,8
1985,0
1986,6
1987,5
1988,6
1989,8
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
