year,Tiffani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,9
1963,14
1964,20
1965,38
1966,62
1967,106
1968,125
1969,156
1970,199
1971,346
1972,240
1973,265
1974,313
1975,286
1976,289
1977,351
1978,352
1979,370
1980,449
1981,643
1982,540
1983,446
1984,428
1985,474
1986,490
1987,447
1988,514
1989,503
1990,539
1991,527
1992,565
1993,608
1994,601
1995,615
1996,576
1997,442
1998,343
1999,257
2000,185
2001,164
2002,137
2003,135
2004,99
2005,92
2006,77
2007,86
2008,59
2009,47
2010,50
2011,23
2012,40
