year,Tonny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,6
1940,7
1941,6
1942,0
1943,8
1944,0
1945,0
1946,7
1947,6
1948,8
1949,0
1950,18
1951,0
1952,12
1953,5
1954,7
1955,11
1956,10
1957,13
1958,13
1959,12
1960,16
1961,21
1962,19
1963,21
1964,22
1965,19
1966,19
1967,17
1968,20
1969,18
1970,10
1971,21
1972,13
1973,8
1974,11
1975,7
1976,16
1977,7
1978,11
1979,8
1980,6
1981,5
1982,0
1983,11
1984,8
1985,17
1986,20
1987,14
1988,16
1989,10
1990,15
1991,15
1992,5
1993,7
1994,15
1995,8
1996,12
1997,13
1998,7
1999,10
2000,12
2001,14
2002,7
2003,12
2004,12
2005,8
2006,10
2007,5
2008,9
2009,18
2010,15
2011,10
2012,7
