year,Toribio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,0
1916,0
1917,9
1918,7
1919,7
1920,6
1921,0
1922,13
1923,12
1924,11
1925,10
1926,7
1927,10
1928,14
1929,19
1930,11
1931,8
1932,10
1933,9
1934,9
1935,9
1936,15
1937,9
1938,0
1939,0
1940,0
1941,6
1942,9
1943,6
1944,5
1945,10
1946,7
1947,8
1948,12
1949,12
1950,7
1951,6
1952,7
1953,12
1954,9
1955,7
1956,9
1957,9
1958,6
1959,8
1960,5
1961,7
1962,13
1963,15
1964,0
1965,6
1966,6
1967,0
1968,0
1969,7
1970,6
1971,7
1972,0
1973,7
1974,0
1975,11
1976,5
1977,12
1978,6
1979,6
1980,0
1981,14
1982,14
1983,12
1984,5
1985,7
1986,11
1987,10
1988,0
1989,7
1990,11
1991,5
1992,11
1993,10
1994,8
1995,11
1996,8
1997,12
1998,8
1999,8
2000,7
2001,12
2002,8
2003,7
2004,14
2005,8
2006,15
2007,18
2008,14
2009,10
2010,8
2011,6
2012,11
