year,Tiffiny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,10
1965,19
1966,25
1967,30
1968,47
1969,44
1970,67
1971,90
1972,76
1973,90
1974,86
1975,86
1976,86
1977,77
1978,107
1979,103
1980,144
1981,140
1982,118
1983,110
1984,100
1985,105
1986,93
1987,68
1988,79
1989,68
1990,48
1991,55
1992,33
1993,26
1994,29
1995,16
1996,21
1997,18
1998,8
1999,12
2000,16
2001,11
2002,9
2003,7
2004,0
2005,0
2006,5
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
