year,Tambra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,6
1955,0
1956,6
1957,45
1958,127
1959,109
1960,96
1961,90
1962,100
1963,82
1964,76
1965,87
1966,60
1967,86
1968,81
1969,68
1970,61
1971,52
1972,39
1973,45
1974,32
1975,30
1976,30
1977,21
1978,22
1979,29
1980,23
1981,24
1982,38
1983,23
1984,23
1985,25
1986,25
1987,26
1988,20
1989,13
1990,17
1991,18
1992,16
1993,11
1994,10
1995,9
1996,5
1997,0
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
