year,Towanda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,0
1950,5
1951,12
1952,8
1953,9
1954,8
1955,11
1956,17
1957,16
1958,21
1959,32
1960,32
1961,55
1962,58
1963,58
1964,74
1965,65
1966,80
1967,114
1968,129
1969,102
1970,125
1971,131
1972,110
1973,116
1974,106
1975,99
1976,84
1977,74
1978,63
1979,68
1980,48
1981,44
1982,35
1983,14
1984,22
1985,18
1986,14
1987,10
1988,9
1989,7
1990,12
1991,7
1992,5
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
