year,Thermon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,9
1914,10
1915,15
1916,13
1917,14
1918,17
1919,14
1920,12
1921,25
1922,16
1923,23
1924,25
1925,16
1926,8
1927,26
1928,25
1929,22
1930,22
1931,26
1932,17
1933,15
1934,7
1935,13
1936,14
1937,12
1938,6
1939,17
1940,15
1941,15
1942,16
1943,11
1944,11
1945,16
1946,11
1947,18
1948,13
1949,7
1950,13
1951,5
1952,6
1953,9
1954,0
1955,15
1956,9
1957,11
1958,9
1959,8
1960,0
1961,5
1962,16
1963,7
1964,0
1965,6
1966,6
1967,5
1968,0
1969,5
1970,0
1971,0
1972,0
1973,5
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
