year,Tacy
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,5
1888,0
1889,0
1890,6
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,5
1917,0
1918,0
1919,0
1920,5
1921,0
1922,5
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,10
1949,6
1950,9
1951,5
1952,6
1953,0
1954,6
1955,19
1956,14
1957,16
1958,17
1959,21
1960,9
1961,17
1962,21
1963,10
1964,15
1965,17
1966,11
1967,18
1968,18
1969,28
1970,22
1971,23
1972,10
1973,19
1974,12
1975,16
1976,14
1977,15
1978,8
1979,10
1980,10
1981,12
1982,17
1983,16
1984,10
1985,14
1986,15
1987,13
1988,15
1989,13
1990,9
1991,17
1992,6
1993,0
1994,8
1995,7
1996,6
1997,8
1998,6
1999,11
2000,8
2001,6
2002,6
2003,8
2004,8
2005,6
2006,13
2007,6
2008,6
2009,5
2010,0
2011,5
2012,0
