year,Thera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,11
1900,8
1901,0
1902,0
1903,0
1904,10
1905,8
1906,5
1907,0
1908,9
1909,9
1910,6
1911,0
1912,9
1913,8
1914,13
1915,14
1916,14
1917,13
1918,12
1919,17
1920,18
1921,22
1922,14
1923,13
1924,20
1925,13
1926,14
1927,13
1928,7
1929,13
1930,8
1931,9
1932,10
1933,11
1934,12
1935,6
1936,11
1937,7
1938,9
1939,7
1940,11
1941,13
1942,11
1943,5
1944,8
1945,6
1946,5
1947,6
1948,7
1949,12
1950,10
1951,6
1952,0
1953,0
1954,8
1955,5
1956,5
1957,7
1958,7
1959,5
1960,5
1961,9
1962,5
1963,0
1964,5
1965,7
1966,0
1967,5
1968,0
1969,0
1970,7
1971,11
1972,0
1973,8
1974,5
1975,11
1976,7
1977,14
1978,10
1979,13
1980,16
1981,11
1982,31
1983,28
1984,27
1985,28
1986,12
1987,15
1988,5
1989,10
1990,9
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
