year,Tomasita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,6
1899,0
1900,0
1901,0
1902,9
1903,0
1904,0
1905,0
1906,5
1907,5
1908,0
1909,0
1910,0
1911,0
1912,9
1913,0
1914,14
1915,0
1916,9
1917,0
1918,10
1919,12
1920,22
1921,16
1922,12
1923,12
1924,18
1925,23
1926,25
1927,12
1928,15
1929,11
1930,21
1931,15
1932,16
1933,16
1934,17
1935,8
1936,11
1937,9
1938,13
1939,12
1940,13
1941,12
1942,14
1943,10
1944,11
1945,12
1946,22
1947,15
1948,16
1949,21
1950,7
1951,17
1952,13
1953,20
1954,11
1955,18
1956,14
1957,8
1958,5
1959,15
1960,17
1961,16
1962,10
1963,10
1964,9
1965,13
1966,9
1967,6
1968,11
1969,11
1970,14
1971,9
1972,9
1973,8
1974,10
1975,8
1976,12
1977,8
1978,6
1979,12
1980,9
1981,11
1982,8
1983,5
1984,10
1985,0
1986,0
1987,0
1988,5
1989,0
1990,7
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
