year,Terrence (F),Terrence (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000039
1887,0.000000,0.000000
1888,0.000000,0.000033
1889,0.000000,0.000017
1890,0.000000,0.000030
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000022
1894,0.000000,0.000015
1895,0.000000,0.000017
1896,0.000000,0.000022
1897,0.000000,0.000032
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000012
1909,0.000000,0.000010
1910,0.000000,0.000015
1911,0.000000,0.000017
1912,0.000000,0.000017
1913,0.000000,0.000016
1914,0.000000,0.000013
1915,0.000000,0.000014
1916,0.000000,0.000009
1917,0.000000,0.000012
1918,0.000000,0.000018
1919,0.000000,0.000014
1920,0.000000,0.000024
1921,0.000000,0.000026
1922,0.000000,0.000023
1923,0.000000,0.000026
1924,0.000000,0.000015
1925,0.000000,0.000029
1926,0.000000,0.000024
1927,0.000000,0.000027
1928,0.000000,0.000028
1929,0.000000,0.000033
1930,0.000000,0.000030
1931,0.000000,0.000034
1932,0.000000,0.000045
1933,0.000000,0.000057
1934,0.000000,0.000063
1935,0.000000,0.000082
1936,0.000000,0.000103
1937,0.000000,0.000115
1938,0.000000,0.000141
1939,0.000000,0.000161
1940,0.000000,0.000172
1941,0.000000,0.000182
1942,0.000000,0.000203
1943,0.000002,0.000222
1944,0.000000,0.000228
1945,0.000002,0.000225
1946,0.000000,0.000294
1947,0.000002,0.000305
1948,0.000003,0.000349
1949,0.000004,0.000337
1950,0.000003,0.000362
1951,0.000002,0.000318
1952,0.000002,0.000307
1953,0.000002,0.000316
1954,0.000003,0.000363
1955,0.000003,0.000373
1956,0.000001,0.000351
1957,0.000002,0.000311
1958,0.000002,0.000294
1959,0.000002,0.000265
1960,0.000003,0.000245
1961,0.000002,0.000240
1962,0.000002,0.000245
1963,0.000002,0.000256
1964,0.000004,0.000326
1965,0.000004,0.000286
1966,0.000003,0.000313
1967,0.000004,0.000314
1968,0.000004,0.000335
1969,0.000003,0.000351
1970,0.000005,0.000406
1971,0.000004,0.000362
1972,0.000002,0.000369
1973,0.000006,0.000387
1974,0.000003,0.000364
1975,0.000004,0.000380
1976,0.000004,0.000384
1977,0.000006,0.000363
1978,0.000007,0.000352
1979,0.000004,0.000358
1980,0.000003,0.000342
1981,0.000004,0.000311
1982,0.000003,0.000306
1983,0.000004,0.000291
1984,0.000003,0.000285
1985,0.000002,0.000264
1986,0.000006,0.000264
1987,0.000004,0.000290
1988,0.000002,0.000336
1989,0.000002,0.000302
1990,0.000002,0.000267
1991,0.000002,0.000270
1992,0.000002,0.000275
1993,0.000000,0.000243
1994,0.000000,0.000216
1995,0.000000,0.000178
1996,0.000000,0.000171
1997,0.000000,0.000160
1998,0.000000,0.000134
1999,0.000000,0.000135
2000,0.000000,0.000127
2001,0.000000,0.000115
2002,0.000000,0.000106
2003,0.000000,0.000116
2004,0.000000,0.000093
2005,0.000000,0.000105
2006,0.000000,0.000118
2007,0.000000,0.000113
2008,0.000000,0.000107
2009,0.000000,0.000120
2010,0.000000,0.000115
2011,0.000000,0.000099
2012,0.000000,0.000092
