year,Thora
1880,0
1881,0
1882,0
1883,9
1884,5
1885,9
1886,0
1887,5
1888,8
1889,11
1890,15
1891,16
1892,20
1893,12
1894,23
1895,13
1896,13
1897,15
1898,19
1899,14
1900,23
1901,14
1902,18
1903,16
1904,16
1905,19
1906,27
1907,21
1908,21
1909,26
1910,37
1911,27
1912,43
1913,57
1914,49
1915,67
1916,72
1917,55
1918,60
1919,52
1920,56
1921,48
1922,41
1923,61
1924,44
1925,37
1926,47
1927,36
1928,40
1929,24
1930,26
1931,24
1932,23
1933,21
1934,24
1935,20
1936,19
1937,15
1938,16
1939,16
1940,11
1941,19
1942,12
1943,21
1944,12
1945,10
1946,14
1947,20
1948,7
1949,12
1950,10
1951,9
1952,9
1953,17
1954,8
1955,10
1956,15
1957,9
1958,8
1959,6
1960,7
1961,0
1962,5
1963,6
1964,6
1965,5
1966,6
1967,0
1968,7
1969,0
1970,7
1971,0
1972,5
1973,7
1974,5
1975,0
1976,5
1977,0
1978,6
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,7
2000,7
2001,8
2002,5
2003,5
2004,9
2005,7
2006,8
2007,14
2008,11
2009,8
2010,10
2011,19
2012,21
