year,Thersa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,8
1911,7
1912,0
1913,0
1914,8
1915,0
1916,12
1917,12
1918,10
1919,6
1920,13
1921,11
1922,5
1923,12
1924,9
1925,11
1926,15
1927,10
1928,10
1929,11
1930,11
1931,8
1932,0
1933,14
1934,9
1935,7
1936,0
1937,0
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,6
1945,0
1946,0
1947,0
1948,9
1949,13
1950,18
1951,15
1952,14
1953,10
1954,22
1955,14
1956,29
1957,17
1958,19
1959,28
1960,37
1961,32
1962,29
1963,34
1964,40
1965,45
1966,26
1967,30
1968,30
1969,23
1970,30
1971,20
1972,28
1973,28
1974,23
1975,25
1976,19
1977,21
1978,10
1979,12
1980,16
1981,9
1982,8
1983,16
1984,5
1985,7
1986,6
1987,5
1988,0
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
