year,Theresa (F),Theresa (M)
1880,0.000759,0.000000
1881,0.000898,0.000000
1882,0.000767,0.000000
1883,0.001111,0.000000
1884,0.000986,0.000000
1885,0.000963,0.000000
1886,0.001081,0.000000
1887,0.001148,0.000000
1888,0.001259,0.000000
1889,0.001242,0.000000
1890,0.001330,0.000000
1891,0.001291,0.000000
1892,0.001247,0.000000
1893,0.001442,0.000000
1894,0.001429,0.000000
1895,0.001467,0.000014
1896,0.001312,0.000000
1897,0.001536,0.000000
1898,0.001416,0.000000
1899,0.001568,0.000000
1900,0.001463,0.000011
1901,0.001602,0.000000
1902,0.001420,0.000000
1903,0.001451,0.000000
1904,0.001390,0.000000
1905,0.001411,0.000000
1906,0.001561,0.000012
1907,0.001577,0.000000
1908,0.001627,0.000000
1909,0.001416,0.000000
1910,0.001568,0.000014
1911,0.001426,0.000008
1912,0.001283,0.000000
1913,0.001234,0.000000
1914,0.001267,0.000000
1915,0.001260,0.000004
1916,0.001214,0.000004
1917,0.001241,0.000000
1918,0.001156,0.000000
1919,0.001128,0.000000
1920,0.001072,0.000003
1921,0.001119,0.000003
1922,0.001110,0.000003
1923,0.001136,0.000006
1924,0.001269,0.000005
1925,0.001506,0.000006
1926,0.001920,0.000007
1927,0.002211,0.000010
1928,0.002357,0.000008
1929,0.002312,0.000008
1930,0.002150,0.000008
1931,0.001918,0.000010
1932,0.001807,0.000011
1933,0.001634,0.000008
1934,0.001537,0.000010
1935,0.001370,0.000008
1936,0.001326,0.000005
1937,0.001268,0.000005
1938,0.001249,0.000008
1939,0.001186,0.000004
1940,0.001060,0.000007
1941,0.001097,0.000004
1942,0.001025,0.000002
1943,0.001038,0.000003
1944,0.001047,0.000003
1945,0.001091,0.000003
1946,0.001153,0.000005
1947,0.001219,0.000003
1948,0.001608,0.000003
1949,0.001610,0.000003
1950,0.001606,0.000002
1951,0.001682,0.000003
1952,0.001793,0.000003
1953,0.002006,0.000003
1954,0.002137,0.000004
1955,0.002396,0.000005
1956,0.002631,0.000005
1957,0.002662,0.000006
1958,0.002771,0.000006
1959,0.002801,0.000007
1960,0.002851,0.000009
1961,0.002891,0.000007
1962,0.002740,0.000008
1963,0.002788,0.000010
1964,0.002715,0.000007
1965,0.002670,0.000006
1966,0.002504,0.000008
1967,0.002386,0.000009
1968,0.002162,0.000006
1969,0.001974,0.000007
1970,0.001776,0.000007
1971,0.001587,0.000008
1972,0.001454,0.000008
1973,0.001385,0.000003
1974,0.001269,0.000004
1975,0.001196,0.000007
1976,0.001045,0.000004
1977,0.000918,0.000004
1978,0.000921,0.000006
1979,0.000900,0.000003
1980,0.000850,0.000003
1981,0.000851,0.000004
1982,0.000784,0.000003
1983,0.000698,0.000003
1984,0.000661,0.000004
1985,0.000595,0.000006
1986,0.000556,0.000002
1987,0.000483,0.000002
1988,0.000449,0.000002
1989,0.000402,0.000003
1990,0.000380,0.000003
1991,0.000375,0.000001
1992,0.000322,0.000000
1993,0.000308,0.000000
1994,0.000286,0.000000
1995,0.000259,0.000000
1996,0.000242,0.000000
1997,0.000235,0.000000
1998,0.000214,0.000000
1999,0.000190,0.000000
2000,0.000180,0.000000
2001,0.000161,0.000000
2002,0.000142,0.000000
2003,0.000130,0.000000
2004,0.000107,0.000000
2005,0.000114,0.000000
2006,0.000100,0.000000
2007,0.000094,0.000000
2008,0.000087,0.000000
2009,0.000074,0.000000
2010,0.000076,0.000000
2011,0.000058,0.000000
2012,0.000064,0.000000
