year,Terrica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,6
1969,0
1970,0
1971,11
1972,24
1973,17
1974,17
1975,24
1976,32
1977,33
1978,34
1979,38
1980,49
1981,45
1982,48
1983,47
1984,59
1985,57
1986,60
1987,56
1988,66
1989,58
1990,68
1991,57
1992,50
1993,54
1994,55
1995,33
1996,29
1997,29
1998,37
1999,29
2000,24
2001,21
2002,15
2003,20
2004,9
2005,7
2006,19
2007,17
2008,13
2009,8
2010,5
2011,0
2012,7
