year,Tino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,6
1921,6
1922,0
1923,8
1924,6
1925,9
1926,10
1927,13
1928,10
1929,5
1930,11
1931,0
1932,8
1933,6
1934,5
1935,9
1936,7
1937,6
1938,8
1939,5
1940,8
1941,16
1942,10
1943,6
1944,14
1945,11
1946,11
1947,15
1948,9
1949,5
1950,12
1951,15
1952,23
1953,8
1954,15
1955,24
1956,28
1957,31
1958,27
1959,30
1960,31
1961,25
1962,21
1963,30
1964,28
1965,29
1966,29
1967,28
1968,29
1969,28
1970,32
1971,22
1972,43
1973,27
1974,26
1975,25
1976,20
1977,28
1978,22
1979,18
1980,22
1981,32
1982,25
1983,17
1984,22
1985,19
1986,22
1987,31
1988,16
1989,24
1990,28
1991,24
1992,25
1993,30
1994,23
1995,26
1996,29
1997,28
1998,31
1999,41
2000,21
2001,34
2002,21
2003,26
2004,34
2005,26
2006,20
2007,26
2008,24
2009,15
2010,17
2011,16
2012,22
