year,Tamra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,0
1939,9
1940,39
1941,17
1942,26
1943,27
1944,24
1945,23
1946,27
1947,45
1948,49
1949,54
1950,47
1951,53
1952,62
1953,59
1954,75
1955,69
1956,84
1957,244
1958,587
1959,824
1960,565
1961,493
1962,453
1963,506
1964,472
1965,394
1966,424
1967,407
1968,463
1969,567
1970,524
1971,390
1972,347
1973,295
1974,325
1975,276
1976,246
1977,215
1978,215
1979,248
1980,220
1981,228
1982,208
1983,200
1984,216
1985,217
1986,224
1987,192
1988,169
1989,151
1990,145
1991,133
1992,125
1993,87
1994,101
1995,99
1996,79
1997,56
1998,64
1999,59
2000,53
2001,42
2002,53
2003,49
2004,50
2005,28
2006,31
2007,33
2008,20
2009,14
2010,19
2011,14
2012,9
