year,Tawni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,0
1953,7
1954,0
1955,5
1956,8
1957,5
1958,9
1959,12
1960,26
1961,36
1962,28
1963,29
1964,35
1965,41
1966,29
1967,27
1968,35
1969,33
1970,23
1971,34
1972,24
1973,16
1974,23
1975,21
1976,29
1977,39
1978,25
1979,29
1980,37
1981,34
1982,41
1983,34
1984,44
1985,52
1986,54
1987,64
1988,102
1989,105
1990,96
1991,77
1992,85
1993,82
1994,70
1995,32
1996,31
1997,26
1998,20
1999,29
2000,23
2001,15
2002,11
2003,19
2004,7
2005,8
2006,7
2007,14
2008,8
2009,0
2010,11
2011,5
2012,0
