year,Tessie
1880,17
1881,12
1882,19
1883,9
1884,26
1885,19
1886,24
1887,32
1888,44
1889,45
1890,47
1891,57
1892,54
1893,61
1894,55
1895,61
1896,68
1897,60
1898,66
1899,66
1900,94
1901,67
1902,63
1903,68
1904,101
1905,85
1906,88
1907,94
1908,117
1909,100
1910,118
1911,136
1912,170
1913,187
1914,230
1915,292
1916,340
1917,393
1918,365
1919,357
1920,313
1921,293
1922,256
1923,235
1924,201
1925,191
1926,190
1927,149
1928,129
1929,131
1930,102
1931,76
1932,93
1933,77
1934,72
1935,70
1936,48
1937,43
1938,40
1939,45
1940,41
1941,40
1942,43
1943,42
1944,38
1945,37
1946,35
1947,53
1948,45
1949,45
1950,39
1951,36
1952,37
1953,27
1954,40
1955,46
1956,35
1957,48
1958,46
1959,48
1960,62
1961,56
1962,53
1963,43
1964,69
1965,64
1966,49
1967,68
1968,77
1969,63
1970,73
1971,73
1972,66
1973,65
1974,38
1975,42
1976,51
1977,55
1978,33
1979,52
1980,47
1981,61
1982,55
1983,42
1984,40
1985,39
1986,33
1987,36
1988,32
1989,23
1990,27
1991,33
1992,22
1993,31
1994,29
1995,23
1996,17
1997,19
1998,18
1999,13
2000,11
2001,9
2002,18
2003,13
2004,14
2005,14
2006,14
2007,15
2008,16
2009,19
2010,15
2011,8
2012,12
