year,Tanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,17
1944,14
1945,18
1946,28
1947,28
1948,32
1949,33
1950,27
1951,31
1952,23
1953,27
1954,25
1955,26
1956,41
1957,40
1958,40
1959,47
1960,46
1961,37
1962,53
1963,65
1964,51
1965,50
1966,38
1967,45
1968,49
1969,48
1970,47
1971,39
1972,47
1973,36
1974,37
1975,42
1976,39
1977,38
1978,39
1979,91
1980,81
1981,66
1982,58
1983,51
1984,63
1985,69
1986,56
1987,67
1988,58
1989,52
1990,72
1991,58
1992,65
1993,58
1994,39
1995,51
1996,58
1997,67
1998,66
1999,67
2000,60
2001,48
2002,52
2003,50
2004,47
2005,45
2006,44
2007,35
2008,27
2009,22
2010,21
2011,17
2012,19
