year,Terrance (F),Terrance (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000008
1912,0.000000,0.000011
1913,0.000000,0.000007
1914,0.000000,0.000005
1915,0.000000,0.000007
1916,0.000000,0.000009
1917,0.000000,0.000009
1918,0.000000,0.000007
1919,0.000000,0.000013
1920,0.000000,0.000010
1921,0.000000,0.000013
1922,0.000000,0.000010
1923,0.000000,0.000010
1924,0.000000,0.000008
1925,0.000000,0.000012
1926,0.000000,0.000013
1927,0.000000,0.000019
1928,0.000000,0.000015
1929,0.000000,0.000016
1930,0.000000,0.000020
1931,0.000000,0.000020
1932,0.000000,0.000027
1933,0.000000,0.000028
1934,0.000000,0.000046
1935,0.000000,0.000049
1936,0.000000,0.000065
1937,0.000000,0.000069
1938,0.000000,0.000084
1939,0.000000,0.000115
1940,0.000000,0.000110
1941,0.000000,0.000123
1942,0.000000,0.000144
1943,0.000003,0.000164
1944,0.000000,0.000175
1945,0.000000,0.000173
1946,0.000002,0.000197
1947,0.000003,0.000220
1948,0.000004,0.000251
1949,0.000005,0.000238
1950,0.000004,0.000272
1951,0.000004,0.000248
1952,0.000004,0.000238
1953,0.000004,0.000250
1954,0.000005,0.000281
1955,0.000005,0.000285
1956,0.000002,0.000256
1957,0.000003,0.000248
1958,0.000003,0.000221
1959,0.000003,0.000199
1960,0.000004,0.000175
1961,0.000003,0.000183
1962,0.000002,0.000184
1963,0.000003,0.000205
1964,0.000005,0.000288
1965,0.000006,0.000261
1966,0.000004,0.000277
1967,0.000005,0.000291
1968,0.000006,0.000302
1969,0.000006,0.000283
1970,0.000006,0.000327
1971,0.000006,0.000321
1972,0.000006,0.000353
1973,0.000008,0.000393
1974,0.000008,0.000351
1975,0.000008,0.000390
1976,0.000008,0.000395
1977,0.000005,0.000389
1978,0.000004,0.000404
1979,0.000005,0.000404
1980,0.000006,0.000401
1981,0.000003,0.000369
1982,0.000003,0.000361
1983,0.000006,0.000345
1984,0.000004,0.000348
1985,0.000004,0.000333
1986,0.000003,0.000319
1987,0.000003,0.000314
1988,0.000004,0.000385
1989,0.000004,0.000354
1990,0.000003,0.000310
1991,0.000000,0.000345
1992,0.000002,0.000332
1993,0.000000,0.000281
1994,0.000002,0.000267
1995,0.000002,0.000229
1996,0.000000,0.000200
1997,0.000002,0.000197
1998,0.000000,0.000185
1999,0.000000,0.000186
2000,0.000000,0.000166
2001,0.000000,0.000155
2002,0.000000,0.000151
2003,0.000000,0.000145
2004,0.000000,0.000140
2005,0.000000,0.000146
2006,0.000000,0.000147
2007,0.000000,0.000142
2008,0.000000,0.000130
2009,0.000000,0.000147
2010,0.000000,0.000120
2011,0.000000,0.000117
2012,0.000000,0.000119
2013,0.000000,0.000112
2014,0.000000,0.000099
2015,0.000000,0.000102
2016,0.000000,0.000090
2017,0.000000,0.000085
2018,0.000000,0.000079
2019,0.000000,0.000067
2020,0.000000,0.000067
