year,Tawna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,7
1950,0
1951,0
1952,10
1953,6
1954,9
1955,8
1956,10
1957,8
1958,9
1959,13
1960,27
1961,16
1962,19
1963,34
1964,22
1965,27
1966,28
1967,11
1968,24
1969,18
1970,20
1971,32
1972,28
1973,23
1974,29
1975,22
1976,33
1977,29
1978,23
1979,30
1980,26
1981,27
1982,28
1983,28
1984,19
1985,26
1986,16
1987,11
1988,21
1989,23
1990,16
1991,11
1992,13
1993,11
1994,8
1995,0
1996,8
1997,0
1998,6
1999,5
2000,0
2001,0
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
