year,Tamela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,10
1948,8
1949,7
1950,12
1951,11
1952,15
1953,16
1954,23
1955,27
1956,27
1957,146
1958,330
1959,390
1960,383
1961,379
1962,363
1963,356
1964,360
1965,286
1966,352
1967,326
1968,315
1969,316
1970,308
1971,292
1972,192
1973,159
1974,176
1975,157
1976,136
1977,105
1978,106
1979,105
1980,108
1981,82
1982,88
1983,74
1984,68
1985,61
1986,64
1987,49
1988,43
1989,37
1990,35
1991,41
1992,31
1993,27
1994,20
1995,15
1996,17
1997,19
1998,10
1999,11
2000,9
2001,11
2002,9
2003,9
2004,8
2005,5
2006,11
2007,7
2008,5
2009,0
2010,0
2011,7
2012,0
