year,Tawanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,7
1950,11
1951,7
1952,6
1953,9
1954,23
1955,22
1956,28
1957,33
1958,34
1959,41
1960,42
1961,41
1962,52
1963,56
1964,72
1965,71
1966,74
1967,77
1968,89
1969,93
1970,134
1971,136
1972,151
1973,183
1974,173
1975,170
1976,179
1977,232
1978,187
1979,180
1980,132
1981,112
1982,131
1983,113
1984,103
1985,103
1986,73
1987,76
1988,82
1989,68
1990,49
1991,30
1992,27
1993,25
1994,17
1995,16
1996,16
1997,10
1998,16
1999,9
2000,11
2001,7
2002,7
2003,6
2004,6
2005,0
2006,5
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
