year,Tomas (F),Tomas (M)
1880,0.000000,0.000089
1881,0.000000,0.000093
1882,0.000000,0.000077
1883,0.000000,0.000060
1884,0.000000,0.000074
1885,0.000000,0.000071
1886,0.000000,0.000078
1887,0.000000,0.000028
1888,0.000000,0.000050
1889,0.000000,0.000031
1890,0.000000,0.000053
1891,0.000000,0.000021
1892,0.000000,0.000045
1893,0.000000,0.000025
1894,0.000000,0.000030
1895,0.000000,0.000017
1896,0.000000,0.000053
1897,0.000000,0.000032
1898,0.000000,0.000037
1899,0.000000,0.000050
1900,0.000000,0.000036
1901,0.000000,0.000043
1902,0.000000,0.000049
1903,0.000000,0.000042
1904,0.000000,0.000052
1905,0.000000,0.000042
1906,0.000000,0.000040
1907,0.000000,0.000062
1908,0.000000,0.000037
1909,0.000000,0.000053
1910,0.000000,0.000073
1911,0.000000,0.000031
1912,0.000000,0.000056
1913,0.000000,0.000044
1914,0.000000,0.000044
1915,0.000000,0.000034
1916,0.000000,0.000040
1917,0.000000,0.000034
1918,0.000000,0.000041
1919,0.000000,0.000044
1920,0.000000,0.000050
1921,0.000000,0.000052
1922,0.000000,0.000062
1923,0.000000,0.000069
1924,0.000000,0.000060
1925,0.000000,0.000063
1926,0.000000,0.000065
1927,0.000000,0.000068
1928,0.000003,0.000070
1929,0.000000,0.000063
1930,0.000002,0.000071
1931,0.000000,0.000054
1932,0.000000,0.000061
1933,0.000000,0.000060
1934,0.000000,0.000070
1935,0.000000,0.000065
1936,0.000000,0.000069
1937,0.000000,0.000058
1938,0.000000,0.000070
1939,0.000000,0.000050
1940,0.000000,0.000048
1941,0.000000,0.000060
1942,0.000000,0.000052
1943,0.000000,0.000056
1944,0.000000,0.000054
1945,0.000000,0.000061
1946,0.000000,0.000054
1947,0.000000,0.000052
1948,0.000000,0.000051
1949,0.000000,0.000057
1950,0.000000,0.000050
1951,0.000000,0.000047
1952,0.000000,0.000055
1953,0.000000,0.000049
1954,0.000000,0.000043
1955,0.000000,0.000049
1956,0.000000,0.000045
1957,0.000000,0.000048
1958,0.000000,0.000051
1959,0.000000,0.000046
1960,0.000000,0.000049
1961,0.000000,0.000048
1962,0.000000,0.000056
1963,0.000000,0.000051
1964,0.000000,0.000051
1965,0.000000,0.000054
1966,0.000000,0.000063
1967,0.000000,0.000059
1968,0.000000,0.000067
1969,0.000000,0.000060
1970,0.000000,0.000069
1971,0.000000,0.000067
1972,0.000002,0.000080
1973,0.000000,0.000083
1974,0.000000,0.000087
1975,0.000000,0.000087
1976,0.000000,0.000094
1977,0.000000,0.000088
1978,0.000000,0.000085
1979,0.000000,0.000079
1980,0.000000,0.000104
1981,0.000000,0.000096
1982,0.000000,0.000086
1983,0.000000,0.000086
1984,0.000000,0.000097
1985,0.000000,0.000091
1986,0.000000,0.000093
1987,0.000001,0.000087
1988,0.000000,0.000095
1989,0.000000,0.000095
1990,0.000000,0.000099
1991,0.000000,0.000109
1992,0.000000,0.000113
1993,0.000000,0.000112
1994,0.000001,0.000124
1995,0.000000,0.000127
1996,0.000000,0.000140
1997,0.000000,0.000126
1998,0.000000,0.000134
1999,0.000000,0.000122
2000,0.000000,0.000131
2001,0.000000,0.000132
2002,0.000000,0.000140
2003,0.000000,0.000141
2004,0.000000,0.000135
2005,0.000000,0.000132
2006,0.000000,0.000135
2007,0.000000,0.000123
2008,0.000000,0.000121
2009,0.000000,0.000121
2010,0.000000,0.000104
2011,0.000000,0.000101
2012,0.000000,0.000098
