year,Timoteo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,6
1915,5
1916,14
1917,8
1918,12
1919,6
1920,8
1921,14
1922,9
1923,14
1924,15
1925,14
1926,8
1927,19
1928,9
1929,14
1930,27
1931,9
1932,11
1933,11
1934,10
1935,12
1936,8
1937,11
1938,7
1939,10
1940,11
1941,9
1942,7
1943,0
1944,14
1945,9
1946,11
1947,11
1948,7
1949,7
1950,10
1951,10
1952,7
1953,13
1954,12
1955,5
1956,0
1957,5
1958,9
1959,8
1960,9
1961,8
1962,7
1963,8
1964,7
1965,6
1966,0
1967,9
1968,8
1969,11
1970,16
1971,12
1972,12
1973,6
1974,17
1975,8
1976,14
1977,15
1978,9
1979,9
1980,16
1981,14
1982,12
1983,12
1984,13
1985,10
1986,8
1987,13
1988,16
1989,12
1990,12
1991,15
1992,14
1993,26
1994,16
1995,12
1996,18
1997,13
1998,23
1999,10
2000,18
2001,13
2002,16
2003,12
2004,16
2005,16
2006,16
2007,15
2008,8
2009,20
2010,14
2011,21
2012,15
